,video_ID,has_title,has_description,has_tags,readability,sentence_count,word_count,word_unique,transition_words,summary_words,active_verb,video_duration,transcript_sentence_count,transcription_confidence_avg,transcript_wordcount,transcript_unique_wordcount,transcription_active_wordcount,transcription_summary_wordcount,transcription_transition_wordcount,unique_obj_count,scene_count,MED_pred,UND_pred
816,MUWG_OGtg2Q,1,1,1,13.62267442,5,86,67,3,0,8,269,7.0,0.967121025,110.0,69.0,16.0,0.0,4.0,10.0,15.0,1,1
817,HOu693SV4e0,1,1,1,7.596666667,3,36,33,1,0,4,113,25.0,0.952770546,441.0,222.0,40.0,0.0,41.0,9.0,9.0,0,1
818,3BRyGcTlZsU,1,1,1,10.6447619,3,35,32,2,0,3,356,2.0,0.959518409,28.0,21.0,2.0,0.0,2.0,52.0,49.0,1,1
819,gkLpD8yqOow,1,1,1,18.56229437,3,77,68,3,0,7,200,31.0,0.882964211,450.0,245.0,61.0,0.0,15.0,1.0,1.0,0,1
820,2fp4JYWPyQM,1,1,1,38.18283489,3,214,127,3,0,17,241,22.0,0.9157408831152817,357.0,163.0,53.0,0.0,26.0,13.0,14.0,1,1
821,5OxWh7XMi-I,1,1,0,4.37,2,9,9,1,0,0,264,53.0,0.824815149,318.0,144.0,32.0,0.0,18.0,19.0,28.0,0,1
822,S8__zp7PdZM,1,1,1,29.55311321,2,106,80,2,0,6,314,38.0,0.94976579,602.0,232.0,91.0,1.0,26.0,54.0,21.0,1,1
823,he1RxQSTV9g,1,1,1,12.25107143,1,28,26,2,0,4,176,27.310344827586206,0.9157408831152817,412.0959051724138,172.7176724137931,63.3739224137931,0.057112068965517244,23.773706896551722,33.0,4.0,0,1
824,tqnjNOqxk4M,1,1,1,12.28666667,3,61,44,2,0,4,115,52.0,0.9157408831152817,642.0,247.0,108.0,0.0,43.0,31.0,12.0,0,1
825,w7-JBjJgKS4,1,1,1,0.41,2,12,12,2,0,2,110,59.0,0.9157408831152817,839.0,288.0,105.0,0.0,40.0,5.0,4.0,1,1
826,IRV2wWm6BQk,1,1,1,9.489466667,3,25,23,2,0,4,229,54.0,0.935479412,1023.0,330.0,161.0,0.0,73.0,57.0,83.0,0,1
827,A_9k8dFdPe4,1,1,1,15.37842105,2,57,48,2,0,6,228,17.0,0.964764237,276.0,140.0,54.0,0.0,12.0,38.0,17.0,0,1
828,pCYzP-dVNNQ,1,1,1,16.05576857,6,193,119,5,0,38,127,27.310344827586206,0.9157408831152817,412.0959051724138,172.7176724137931,63.3739224137931,0.057112068965517244,23.773706896551722,30.0,15.0,1,1
829,JfWUj-mjfFY,1,1,0,9.792857143,1,14,14,1,0,1,268,26.0,0.9157408831152817,293.0,120.0,44.0,0.0,9.0,16.0,1.0,0,1
830,0nEpnSD_Pt4,1,1,1,4.765454545,3,33,29,2,0,7,182,7.0,0.9157408831152817,77.0,63.0,11.0,0.0,1.0,8.0,1.0,1,1
831,vwIyulPnXcg,1,1,1,31.03473451,5,226,143,4,0,15,332,29.0,0.957306996,507.0,206.0,80.0,0.0,28.0,27.0,4.0,1,1
832,IQy6E5aVUzo,1,1,1,35.44976744,3,129,95,2,0,15,163,61.0,0.958317743,850.0,281.0,154.0,0.0,50.0,82.0,121.0,0,0
833,tRdKOIi6hYU,1,1,1,12.90326087,4,92,70,2,0,12,271,36.0,0.9157408831152817,570.0,221.0,103.0,1.0,53.0,8.0,1.0,1,1
834,jHZt0naRnbM,1,1,1,15.66265766,3,74,57,2,0,8,218,18.0,0.979455928,301.0,153.0,50.0,0.0,23.0,18.0,7.0,0,1
835,UvWUiiK4ATg,1,1,1,11.19,2,30,26,2,0,2,310,13.0,0.924234867,182.0,114.0,31.0,0.0,8.0,7.0,4.0,1,1
836,gsqA44mM4Kc,1,1,1,6.965714286,1,7,7,0,0,0,249,39.0,0.9157408831152817,448.0,174.0,80.0,0.0,37.0,55.0,6.0,0,0
