date,diabetes risk factors,glycosuria,hirsutism,hyperandrogenism,diabetes causes,isPartial
2021-12-05,14,5,34,5,76,False
2021-12-12,7,6,32,1,71,False
2021-12-19,3,4,29,2,66,False
2021-12-26,1,1,31,2,57,False
2022-01-02,5,4,32,4,54,False
2022-01-09,11,5,29,2,76,False
2022-01-16,9,6,38,3,82,False
2022-01-23,5,6,43,1,74,False
2022-01-30,12,10,38,3,80,False
2022-02-06,8,5,36,4,78,False
2022-02-13,11,5,39,4,74,False
2022-02-20,9,5,41,1,83,False
2022-02-27,9,9,46,6,80,False
2022-03-06,12,7,36,5,82,False
2022-03-13,8,8,55,4,86,False
2022-03-20,11,7,51,3,68,False
2022-03-27,11,7,43,3,68,False
2022-04-03,14,11,42,4,85,False
2022-04-10,9,8,40,5,77,False
2022-04-17,11,8,37,0,88,False
2022-04-24,12,5,39,4,82,False
2022-05-01,15,6,61,2,69,False
2022-05-08,8,7,43,3,75,False
2022-05-15,10,3,41,2,72,False
2022-05-22,0,0,13,0,54,True
